# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.679339e+01 -3.157156e-01 8.510413e-06) (6.520567e-01 1.062657e-02 1.255882e-05)) ((9.542175e-05 -6.276427e-05 -2.713911e-05) (-2.663163e-07 3.895181e-07 4.957903e-04))
0.0001        	((2.635667e+01 -1.618269e-01 1.253195e-05) (6.061698e-01 9.652755e-03 9.283408e-06)) ((-2.733051e-03 2.320421e-03 -2.938781e-05) (-3.895697e-07 3.839320e-07 4.503343e-04))
0.0002        	((2.641211e+01 -2.409019e-01 3.521145e-06) (5.717222e-01 8.858471e-03 1.233287e-05)) ((1.621082e-04 -8.325267e-05 -2.889492e-05) (-2.875441e-07 1.685344e-07 4.213879e-04))
0.0003        	((2.598449e+01 -2.212316e-01 6.545893e-06) (5.493217e-01 8.345893e-03 1.177992e-05)) ((-3.537259e-04 4.954459e-04 -2.895898e-05) (-2.634517e-07 2.767055e-08 4.060503e-04))
0.0004        	((2.562549e+01 -2.349256e-01 5.644083e-06) (5.352782e-01 8.064243e-03 1.167034e-05)) ((-9.197273e-06 9.505484e-05 -2.900526e-05) (-2.328923e-07 -8.599558e-08 3.987768e-04))
0.0005        	((2.531692e+01 -2.340210e-01 6.888075e-06) (5.250306e-01 7.906041e-03 1.104453e-05)) ((-9.197561e-05 1.403870e-04 -2.904342e-05) (-2.076507e-07 -1.427690e-07 3.946540e-04))
0.0006        	((2.502695e+01 -2.365361e-01 6.872244e-06) (5.169930e-01 7.793171e-03 1.051600e-05)) ((-1.012174e-04 1.619094e-04 -2.905258e-05) (-1.794563e-07 -1.790103e-07 3.920087e-04))
0.0007        	((2.473316e+01 -2.401091e-01 6.329676e-06) (5.098920e-01 7.681358e-03 1.024089e-05)) ((-2.424454e-05 9.440047e-05 -2.890933e-05) (-1.498215e-07 -1.960092e-07 3.898610e-04))
0.0008        	((2.447522e+01 -2.417877e-01 6.924515e-06) (5.040819e-01 7.574043e-03 9.834318e-06)) ((-4.753141e-05 1.047607e-04 -2.902707e-05) (-1.200340e-07 -2.046822e-07 3.883090e-04))
0.0009        	((2.420822e+01 -2.443986e-01 6.682701e-06) (4.988376e-01 7.470960e-03 9.611220e-06)) ((-1.205601e-05 8.047973e-05 -2.892007e-05) (-9.177288e-08 -1.993896e-07 3.871024e-04))
0.001         	((2.396628e+01 -2.451781e-01 6.705554e-06) (4.945516e-01 7.380358e-03 9.416816e-06)) ((-3.084763e-05 8.870585e-05 -2.886955e-05) (-6.111523e-08 -2.083168e-07 3.864147e-04))
0.0011        	((2.371909e+01 -2.476066e-01 6.395109e-06) (4.904943e-01 7.295835e-03 9.356095e-06)) ((-5.523918e-06 6.296085e-05 -2.886976e-05) (-3.903703e-08 -1.927952e-07 3.859059e-04))
0.0012        	((2.349392e+01 -2.485286e-01 6.583295e-06) (4.871045e-01 7.225167e-03 9.179550e-06)) ((-2.002575e-05 7.335864e-05 -2.889696e-05) (-1.937526e-09 -1.846138e-07 3.857601e-04))
0.0013        	((2.326824e+01 -2.500200e-01 6.049926e-06) (4.837572e-01 7.163180e-03 9.140526e-06)) ((-1.934283e-05 7.160930e-05 -2.885006e-05) (1.144086e-08 -1.821962e-07 3.856843e-04))
0.0014        	((2.304256e+01 -2.520580e-01 6.028043e-06) (4.809522e-01 7.109941e-03 9.101877e-06)) ((1.968223e-05 3.876466e-05 -2.896068e-05) (1.028447e-08 -1.739655e-07 3.858689e-04))
0.0015        	((2.283069e+01 -2.532124e-01 6.190594e-06) (4.780995e-01 7.060136e-03 9.017678e-06)) ((1.052919e-05 4.615938e-05 -2.895634e-05) (1.013978e-08 -1.615488e-07 3.860776e-04))
0.0016        	((2.262858e+01 -2.543271e-01 5.907907e-06) (4.757048e-01 7.021320e-03 8.981969e-06)) ((-6.781041e-06 5.943208e-05 -2.900289e-05) (3.290116e-08 -1.626625e-07 3.865174e-04))
