# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((-2.094043e-01 1.258099e+03 4.106953e+03) (4.121806e-03 -7.366885e-06 -4.345865e-05)) ((-1.018522e+03 5.208818e+02 -1.782570e+02) (1.944653e-05 6.296548e-04 1.121727e-03))
0.001         	((-4.699738e+01 8.994168e+02 1.667546e+03) (3.787958e-03 2.135584e-03 -5.413490e-03)) ((-5.269139e+02 -6.045179e+02 7.293943e+01) (1.844774e-03 -2.805748e-03 -2.264207e-06))
0.002         	((-1.273798e+02 5.879227e+02 9.146451e+01) (3.807433e-03 5.715665e-03 -1.435277e-02)) ((-1.810150e+02 -2.407984e+03 4.757008e+02) (4.857272e-03 -1.079742e-02 -2.843223e-03))
0.003         	((-1.186799e+02 1.071844e+03 2.528368e+03) (4.024532e-03 7.069679e-03 -1.753897e-02)) ((-7.157772e+02 -1.891181e+03 3.586320e+02) (5.948005e-03 -1.835470e-02 -5.193019e-03))
0.004         	((-1.288622e+02 9.555535e+02 1.961900e+03) (4.180308e-03 8.938792e-03 -2.201951e-02)) ((-5.916348e+02 -2.139165e+03 4.161383e+02) (7.462827e-03 -2.619598e-02 -7.808246e-03))
0.005         	((-1.458959e+02 7.117513e+02 7.317065e+02) (4.283645e-03 1.192093e-02 -2.922517e-02)) ((-3.218345e+02 -2.607382e+03 5.228074e+02) (9.910428e-03 -3.475826e-02 -1.088623e-02))
0.006         	((-1.206967e+02 1.034837e+03 2.354672e+03) (4.421498e-03 1.341978e-02 -3.239124e-02)) ((-6.777749e+02 -1.903556e+03 3.637616e+02) (1.105329e-02 -4.125710e-02 -1.324260e-02))
0.007         	((-1.307457e+02 8.888181e+02 1.631688e+03) (4.546674e-03 1.560574e-02 -3.733392e-02)) ((-5.191833e+02 -2.181578e+03 4.278134e+02) (1.277080e-02 -4.843063e-02 -1.593448e-02))
0.008         	((-1.372115e+02 7.931165e+02 1.147568e+03) (4.665223e-03 1.822445e-02 -4.338749e-02)) ((-4.128810e+02 -2.359925e+03 4.687599e+02) (1.486032e-02 -5.601941e-02 -1.878920e-02))
0.009         	((-1.215974e+02 9.871197e+02 2.125572e+03) (4.801770e-03 1.995663e-02 -4.704193e-02)) ((-6.272816e+02 -1.929946e+03 3.721081e+02) (1.617165e-02 -6.239241e-02 -2.121089e-02))
0.01          	((-1.298256e+02 8.630262e+02 1.509428e+03) (4.924053e-03 2.226506e-02 -5.219461e-02)) ((-4.920031e+02 -2.163257e+03 4.260109e+02) (1.797238e-02 -6.934044e-02 -2.389459e-02))
0.011         	((-1.307835e+02 8.384120e+02 1.384539e+03) (5.046378e-03 2.468262e-02 -5.760444e-02)) ((-4.644700e+02 -2.192453e+03 4.331808e+02) (1.986724e-02 -7.631141e-02 -2.659393e-02))
0.012         	((-1.213790e+02 9.473965e+02 1.937120e+03) (5.176901e-03 2.660507e-02 -6.166895e-02)) ((-5.855311e+02 -1.939192e+03 3.768210e+02) (2.132775e-02 -8.256090e-02 -2.904340e-02))
0.013         	((-1.274049e+02 8.545590e+02 1.476299e+03) (5.296456e-03 2.895805e-02 -6.684811e-02)) ((-4.842743e+02 -2.109451e+03 4.163989e+02) (2.315726e-02 -8.922526e-02 -3.168087e-02))
0.014         	((-1.259218e+02 8.606946e+02 1.508533e+03) (5.416652e-03 3.128378e-02 -7.193167e-02)) ((-4.911622e+02 -2.073599e+03 4.091929e+02) (2.496524e-02 -9.576324e-02 -3.427702e-02))
0.015         	((-1.205011e+02 9.170344e+02 1.797253e+03) (5.539745e-03 3.335760e-02 -7.631777e-02)) ((-5.543023e+02 -1.931007e+03 3.779663e+02) (2.655206e-02 -1.018863e-01 -3.674011e-02))
0.016         	((-1.244340e+02 8.528717e+02 1.480377e+03) (5.652154e-03 3.573093e-02 -8.148332e-02)) ((-4.845765e+02 -2.042532e+03 4.044786e+02) (2.840110e-02 -1.082949e-01 -3.932735e-02))
0.017         	((-1.221895e+02 8.684113e+02 1.561820e+03) (5.766364e-03 3.804028e-02 -8.646194e-02)) ((-5.022065e+02 -1.986698e+03 3.929151e+02) (3.019802e-02 -1.145656e-01 -4.186610e-02))
0.018         	((-1.191234e+02 8.948047e+02 1.700565e+03) (5.882193e-03 4.024197e-02 -9.113948e-02)) ((-5.324420e+02 -1.908303e+03 3.764585e+02) (3.190338e-02 -1.206425e-01 -4.434779e-02))
0.019         	((-1.214031e+02 8.526884e+02 1.494640e+03) (5.993246e-03 4.265070e-02 -9.633478e-02)) ((-4.870110e+02 -1.974409e+03 3.927558e+02) (3.378544e-02 -1.268963e-01 -4.692118e-02))
0.02          	((-1.191647e+02 8.687404e+02 1.580740e+03) (6.105801e-03 4.500219e-02 -1.013354e-01)) ((-5.056148e+02 -1.917484e+03 3.813257e+02) (3.561111e-02 -1.329990e-01 -4.946456e-02))
0.021         	((-1.175654e+02 8.779463e+02 1.633959e+03) (6.215749e-03 4.732267e-02 -1.062500e-01)) ((-5.170449e+02 -1.876457e+03 3.735768e+02) (3.741613e-02 -1.390281e-01 -5.198328e-02))
0.022         	((-1.188632e+02 8.518443e+02 1.509109e+03) (6.321314e-03 4.977725e-02 -1.115178e-01)) ((-4.894081e+02 -1.910901e+03 3.829215e+02) (3.934552e-02 -1.452002e-01 -5.455834e-02))
0.023         	((-1.163393e+02 8.648355e+02 1.579940e+03) (6.426750e-03 5.218443e-02 -1.166624e-01)) ((-5.045665e+02 -1.859028e+03 3.724481e+02) (4.124345e-02 -1.512963e-01 -5.709551e-02))
0.024         	((-1.152021e+02 8.652620e+02 1.589221e+03) (6.529323e-03 5.460332e-02 -1.218345e-01)) ((-5.062546e+02 -1.836564e+03 3.689702e+02) (4.315827e-02 -1.573805e-01 -5.962952e-02))
0.025         	((-1.155054e+02 8.499345e+02 1.518872e+03) (6.628941e-03 5.710942e-02 -1.272269e-01)) ((-4.905094e+02 -1.847912e+03 3.731629e+02) (4.515343e-02 -1.635351e-01 -6.219818e-02))
0.026         	((-1.139235e+02 8.583099e+02 1.568628e+03) (6.725440e-03 5.959030e-02 -1.325333e-01)) ((-5.010663e+02 -1.808437e+03 3.659784e+02) (4.712949e-02 -1.696119e-01 -6.474513e-02))
0.027         	((-1.131557e+02 8.559538e+02 1.564406e+03) (6.819613e-03 6.210159e-02 -1.378934e-01)) ((-4.997928e+02 -1.793623e+03 3.644489e+02) (4.913092e-02 -1.756639e-01 -6.730451e-02))
0.028         	((-1.129969e+02 8.459164e+02 1.521904e+03) (6.911572e-03 6.467736e-02 -1.433719e-01)) ((-4.900695e+02 -1.793127e+03 3.661442e+02) (5.118019e-02 -1.816888e-01 -6.989085e-02))
0.029         	((-1.117426e+02 8.510271e+02 1.555997e+03) (7.001822e-03 6.725364e-02 -1.488608e-01)) ((-4.971666e+02 -1.762191e+03 3.611309e+02) (5.323952e-02 -1.877659e-01 -7.248497e-02))
