# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.678911e+01 -2.507848e-03 8.489980e-06) (6.518674e-01 -1.296967e-05 1.261900e-05)) ((9.701327e-05 -6.221085e-05 -4.238318e-07) (-3.082236e-07 4.639557e-07 1.084334e-06))
0.0001        	((2.635266e+01 -1.683628e-03 1.285780e-05) (6.060645e-01 -4.269581e-06 9.225638e-06)) ((-2.756810e-03 2.281344e-03 -3.251147e-07) (-4.459779e-07 4.561651e-07 1.074710e-06))
0.0002        	((2.640761e+01 1.193240e-03 3.253911e-06) (5.716285e-01 -3.851172e-07 1.224996e-05)) ((1.854930e-04 -9.296156e-05 -2.472172e-07) (-3.500246e-07 2.400567e-07 1.025188e-06))
0.0003        	((2.598054e+01 3.946918e-03 6.535151e-06) (5.492054e-01 7.409720e-07 1.166383e-05)) ((-3.668041e-04 4.982568e-04 -2.483472e-07) (-3.245624e-07 9.635985e-08 9.861005e-07))
0.0004        	((2.561709e+01 -5.484118e-04 4.187674e-06) (5.351355e-01 8.993891e-07 1.187285e-05)) ((-5.213039e-05 1.567672e-04 -2.102642e-07) (-2.935738e-07 -1.317003e-08 9.548619e-07))
0.0005        	((2.531062e+01 6.436537e-04 5.549102e-06) (5.248646e-01 1.340028e-06 1.142010e-05)) ((-1.027261e-04 1.345445e-04 -2.404128e-07) (-2.655300e-07 -7.291518e-08 9.600101e-07))
0.0006        	((2.500930e+01 -8.749367e-04 5.772349e-06) (5.168073e-01 1.918442e-06 1.099828e-05)) ((-8.066263e-06 9.008041e-05 -2.375655e-07) (-2.328963e-07 -1.103072e-07 9.412437e-07))
0.0007        	((2.473181e+01 -3.929349e-04 5.359314e-06) (5.096849e-01 2.652090e-06 1.066861e-05)) ((-4.002829e-05 1.001569e-04 -2.262588e-07) (-2.042941e-07 -1.271089e-07 9.483233e-07))
0.0008        	((2.446292e+01 -7.551683e-04 5.540092e-06) (5.038446e-01 3.129283e-06 1.034966e-05)) ((-1.112810e-05 9.131659e-05 -2.379126e-07) (-1.747243e-07 -1.453344e-07 9.289861e-07))
0.0009        	((2.420222e+01 -1.225593e-03 5.871504e-06) (4.985624e-01 3.991426e-06 1.003642e-05)) ((2.280475e-05 5.262079e-05 -2.214752e-07) (-1.433612e-07 -1.380638e-07 9.514037e-07))
0.001         	((2.395923e+01 -8.612649e-04 6.105913e-06) (4.942300e-01 4.287651e-06 9.690201e-06)) ((9.755301e-06 4.213305e-05 -2.344860e-07) (-1.072921e-07 -1.428534e-07 9.341340e-07))
0.0011        	((2.372497e+01 -4.043497e-04 6.045313e-06) (4.901270e-01 5.538296e-06 9.410062e-06)) ((-2.285460e-05 7.525427e-05 -2.338293e-07) (-8.573081e-08 -1.247188e-07 9.688735e-07))
0.0012        	((2.349457e+01 -4.693158e-04 5.983121e-06) (4.866956e-01 6.048290e-06 9.175158e-06)) ((-2.519314e-05 7.415735e-05 -2.480441e-07) (-5.985125e-08 -1.228492e-07 9.715092e-07))
0.0013        	((2.326957e+01 -4.557830e-04 5.914114e-06) (4.833040e-01 6.734987e-06 8.987025e-06)) ((-2.179906e-05 7.097854e-05 -2.370387e-07) (-3.639052e-08 -1.112507e-07 1.010988e-06))
0.0014        	((2.304670e+01 -1.033602e-03 6.292015e-06) (4.804478e-01 7.146775e-06 8.730928e-06)) ((1.567706e-05 4.505470e-05 -2.408862e-07) (-2.702621e-08 -9.710686e-08 1.011977e-06))
0.0015        	((2.283737e+01 -8.337990e-04 6.201004e-06) (4.775498e-01 8.137201e-06 8.560175e-06)) ((-4.522511e-06 6.399404e-05 -2.466146e-07) (-2.602238e-08 -9.033847e-08 1.051426e-06))
0.0016        	((2.263125e+01 -7.462203e-04 5.805772e-06) (4.751129e-01 9.001990e-06 8.491721e-06)) ((-1.831585e-06 5.526606e-05 -2.626972e-07) (-1.028355e-08 -1.008807e-07 1.075092e-06))
