# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((2.675663e+01 -2.543681e-03 8.506275e-06) (6.530490e-01 -1.146647e-05 1.256884e-05)) ((9.722914e-05 -6.289372e-05 -4.242568e-07) (-3.052043e-07 4.465774e-07 1.104398e-06))
0.0001        	((2.632764e+01 -2.161111e-03 1.291541e-05) (6.072212e-01 -2.975860e-06 9.173229e-06)) ((-2.765078e-03 2.299949e-03 -3.246057e-07) (-4.427806e-07 4.379136e-07 1.093413e-06))
0.0002        	((2.637958e+01 1.366591e-03 3.270981e-06) (5.727395e-01 8.346947e-07 1.222359e-05)) ((1.874427e-04 -9.811973e-05 -2.472650e-07) (-3.469195e-07 2.211176e-07 1.042544e-06))
0.0003        	((2.595388e+01 3.884025e-03 6.570149e-06) (5.502781e-01 1.919659e-06 1.163799e-05)) ((-3.625227e-04 4.943787e-04 -2.480302e-07) (-3.213401e-07 7.821345e-08 1.002688e-06))
0.0004        	((2.559525e+01 -9.754718e-04 5.573746e-06) (5.361801e-01 2.002294e-06 1.153361e-05)) ((-1.671943e-06 8.759755e-05 -2.063573e-07) (-2.864121e-07 -3.500403e-08 9.711620e-07))
0.0005        	((2.528788e+01 9.586732e-04 6.720546e-06) (5.258896e-01 2.433884e-06 1.095989e-05)) ((-9.149644e-05 1.354001e-04 -2.443465e-07) (-2.577029e-07 -9.093875e-08 9.760337e-07))
0.0006        	((2.499901e+01 9.325830e-04 6.992569e-06) (5.178148e-01 3.005506e-06 1.041779e-05)) ((-9.770251e-05 1.574840e-04 -2.565052e-07) (-2.258646e-07 -1.283086e-07 9.575424e-07))
0.0007        	((2.470692e+01 -3.263952e-04 6.364528e-06) (5.106778e-01 3.641620e-06 1.015949e-05)) ((-2.253880e-05 9.354845e-05 -2.254911e-07) (-1.932857e-07 -1.467239e-07 9.650838e-07))
0.0008        	((2.444443e+01 -3.329910e-04 6.817431e-06) (5.048246e-01 4.103050e-06 9.804791e-06)) ((-1.631187e-05 7.014041e-05 -2.415815e-07) (-1.609144e-07 -1.622609e-07 9.453924e-07))
0.0009        	((2.419135e+01 1.959273e-04 6.780095e-06) (4.995336e-01 4.955078e-06 9.533663e-06)) ((-5.228922e-05 1.119287e-04 -2.338375e-07) (-1.308538e-07 -1.520737e-07 9.660925e-07))
0.001         	((2.393681e+01 -6.470152e-04 6.658761e-06) (4.951936e-01 5.226863e-06 9.351966e-06)) ((-6.714588e-06 7.076201e-05 -2.362136e-07) (-8.952077e-08 -1.547128e-07 9.508912e-07))
0.0011        	((2.370341e+01 -1.065020e-04 6.660715e-06) (4.910875e-01 6.517546e-06 9.190861e-06)) ((-3.411473e-05 8.682216e-05 -2.329118e-07) (-6.969271e-08 -1.401757e-07 9.858824e-07))
0.0012        	((2.346616e+01 -9.580307e-04 6.206914e-06) (4.876541e-01 7.161947e-06 9.114194e-06)) ((1.073540e-05 4.930983e-05 -2.374982e-07) (-3.973278e-08 -1.445155e-07 9.776041e-07))
0.0013        	((2.324645e+01 -4.633816e-04 6.552180e-06) (4.842623e-01 7.806949e-06 8.947698e-06)) ((-1.341206e-05 7.090357e-05 -2.336688e-07) (-1.705598e-08 -1.341295e-07 1.014588e-06))
0.0014        	((2.302379e+01 -9.113793e-04 6.125715e-06) (4.814072e-01 8.072208e-06 8.928664e-06)) ((8.779741e-06 4.705005e-05 -2.415800e-07) (-1.102247e-08 -1.250119e-07 1.024955e-06))
0.0015        	((2.281512e+01 -6.695879e-04 5.986470e-06) (4.785107e-01 9.056213e-06 8.914031e-06)) ((-6.272843e-06 6.108226e-05 -2.490066e-07) (-1.158555e-08 -1.033058e-07 1.077699e-06))
0.0016        	((2.260398e+01 -1.013601e-03 5.846187e-06) (4.760738e-01 9.893706e-06 8.894906e-06)) ((1.766036e-05 3.726947e-05 -2.553041e-07) (2.280214e-09 -8.964700e-08 1.122260e-06))
0.0017        	((2.240513e+01 -1.171824e-03 5.714574e-06) (4.735365e-01 1.026584e-05 8.885519e-06)) ((2.187674e-05 2.696368e-05 -2.490984e-07) (1.443860e-08 -1.081313e-07 1.156379e-06))
0.0018        	((2.220481e+01 -1.115206e-03 5.868745e-06) (4.713925e-01 1.041383e-05 8.801196e-06)) ((1.915155e-05 3.084974e-05 -2.518610e-07) (1.873309e-08 -9.510810e-08 1.136117e-06))
0.0019        	((2.201407e+01 -1.172220e-03 6.079358e-06) (4.691129e-01 1.139941e-05 8.708574e-06)) ((1.950814e-05 3.314804e-05 -2.521848e-07) (5.973377e-09 -8.642014e-08 1.204341e-06))
0.002         	((2.182573e+01 -1.228641e-03 5.871991e-06) (4.671852e-01 1.215288e-05 8.632820e-06)) ((2.034868e-05 2.817864e-05 -2.599708e-07) (1.728216e-08 -7.178333e-08 1.219423e-06))
0.0021        	((2.165111e+01 -2.901351e-03 5.717434e-06) (4.651138e-01 1.233517e-05 8.649194e-06)) ((1.179599e-04 -6.289825e-05 -2.344406e-07) (1.638144e-08 -7.672536e-08 1.284111e-06))
0.0022        	((2.144993e+01 -2.431255e-03 5.670361e-06) (4.633615e-01 1.248998e-05 8.586075e-06)) ((1.554121e-04 -9.236820e-05 -2.537833e-07) (3.745878e-08 -7.104162e-08 1.277922e-06))
0.0023        	((2.127918e+01 -2.527735e-03 6.330320e-06) (4.614526e-01 1.376954e-05 8.349307e-06)) ((1.142284e-04 -6.615171e-05 -2.450043e-07) (3.683433e-08 -5.434218e-08 1.323776e-06))
0.0024        	((2.111255e+01 -1.510602e-03 5.623210e-06) (4.598428e-01 1.432037e-05 8.335037e-06)) ((1.045449e-05 4.072039e-05 -2.586378e-07) (3.587284e-08 -4.236879e-08 1.331898e-06))
0.0025        	((2.093578e+01 -1.175391e-03 5.382710e-06) (4.580733e-01 1.473485e-05 8.346486e-06)) ((2.672444e-05 3.334551e-05 -2.509518e-07) (3.455537e-08 1.666399e-09 1.371158e-06))
0.0026        	((2.077332e+01 -1.282157e-03 5.661791e-06) (4.565892e-01 1.442005e-05 8.250963e-06)) ((3.827200e-05 2.586426e-05 -2.552867e-07) (3.826692e-08 -4.036233e-08 1.372892e-06))
0.0027        	((2.060298e+01 -1.821188e-03 5.661502e-06) (4.549359e-01 1.545277e-05 8.171901e-06)) ((6.160079e-05 -1.049257e-05 -2.453518e-07) (3.121702e-08 -3.124842e-10 1.421582e-06))
0.0028        	((2.043576e+01 -1.885383e-03 5.581622e-06) (4.535361e-01 1.581086e-05 8.094850e-06)) ((7.197100e-05 -2.284895e-05 -2.589190e-07) (3.007530e-08 1.261430e-08 1.412123e-06))
0.0029        	((2.027975e+01 -1.662856e-03 5.638180e-06) (4.519876e-01 1.592103e-05 7.989820e-06)) ((5.890646e-05 -5.410479e-06 -2.444435e-07) (1.968191e-08 1.626601e-08 1.454407e-06))
0.003         	((2.012069e+01 -1.591616e-03 5.448149e-06) (4.506713e-01 1.615154e-05 7.940617e-06)) ((4.724855e-05 5.271319e-06 -2.532506e-07) (4.027955e-08 1.210840e-08 1.439218e-06))
0.0031        	((1.997445e+01 -1.862928e-03 5.941591e-06) (4.492033e-01 1.671069e-05 7.768353e-06)) ((6.199430e-05 -1.517245e-05 -2.566652e-07) (2.649527e-08 3.057307e-08 1.491430e-06))
0.0032        	((1.981702e+01 -1.539491e-03 5.334968e-06) (4.479470e-01 1.711405e-05 7.749538e-06)) ((4.840526e-05 2.924121e-06 -2.537749e-07) (3.693767e-08 4.528536e-08 1.478181e-06))
0.0033        	((1.967132e+01 -1.696695e-03 5.823384e-06) (4.465454e-01 1.750033e-05 7.580087e-06)) ((5.793326e-05 -8.883176e-06 -2.496173e-07) (2.535468e-08 5.510461e-08 1.507111e-06))
0.0034        	((1.952708e+01 -1.734084e-03 5.116281e-06) (4.453435e-01 1.738849e-05 7.604298e-06)) ((4.746465e-05 1.054010e-06 -2.547118e-07) (4.100205e-08 4.483021e-08 1.492146e-06))
0.0035        	((1.938249e+01 -1.433698e-03 5.712443e-06) (4.440033e-01 1.779212e-05 7.455551e-06)) ((5.572672e-05 -5.085125e-06 -2.525716e-07) (3.094986e-08 5.880627e-08 1.537963e-06))
